Student_ID,Age,Gender,Department,Semester,CGPA,Academic_Score,Attendance_Percentage,Communication_Skill,Programming_Skill,Problem_Solving,Aptitude_Score,Logical_Reasoning,Technical_Test_Score,Coding_Assessment,Industry_Skill,Internship_Count,Internship_Performance,Projects_Completed,Mini_Projects,Major_Project_Score,Certifications,Hackathon_Participation,Workshops_Attended,Technical_Events,Soft_Skill_Rating,Resume_Score,Interview_Score,Skill_Gap,Employability_Percentage,Placement_Package_LPA,Employment_Status
S340,20,Male,Mechanical,2,5.63,72,61,77,77,67,,46,95,65,78,0,92,6,5,100,3,1,12,9,79,68,47,6,74.25,4.25,Employed
S422,21,Female,EEE,6,7.18,88,86,72,92,68,96,96,40,42,66,4,40,3,1,68,6,2,9,6,94,44,63,22,80.2,6.16,Employed
S394,18,Female,ECE,7,6.27,52,81,98,66,50,58,59,96,72,68,1,40,7,2,69,10,8,0,7,97,79,97,16,79.9,5.17,Employed
S704,21,Female,CSE,1,6.03,93,84,72,60,44,45,82,59,77,38,0,100,2,4,83,0,4,1,4,80,78,44,55,53.0,0.0,Not Employed
S403,23,Male,IT,1,9.8,48,72,87,85,98,83,74,100,44,56,3,88,7,5,99,6,6,9,4,53,51,35,8,71.6,3.32,Employed
S913,21,Male,IT,4,7.07,71,65,71,87,56,50,100,75,47,51,3,82,3,4,78,0,8,6,6,85,91,84,20,70.5,4.87,Employed
S208,20,Male,CSE,3,7.52,97,76,74,81,93,40,89,99,83,58,0,79,6,5,65,5,1,10,8,92,64,59,39,71.0,4.05,Employed
S687,22,Female,,4,7.82,69,72,73,43,86,57,55,54,43,53,3,79,5,6,60,8,4,6,4,50,41,66,16,65.5,4.76,Not Employed
S930,20,Female,AI&DS,1,8.99,73,78,92,44,73,72,94,76,93,58,3,43,3,5,61,5,4,12,6,83,73,86,15,77.35,7.94,Employed
S041,19,Male,CSE,7,8.29,60,91,98,53,64,69,80,67,93,67,0,97,8,3,93,8,2,1,7,100,62,73,7,77.4,6.92,Employed
S640,19,Female,EEE,5,7.58,74,71,85,49,66,50,80,40,43,83,1,40,5,4,83,7,6,8,8,86,65,94,9,76.6,7.89,Employed
S031,24,Female,CSE,4,6.03,93,86,78,63,83,68,98,91,73,89,2,76,1,5,97,1,3,10,3,56,82,45,4,80.1,5.47,Employed
S592,18,Male,CSE,3,7.18,54,96,91,65,46,95,44,36,36,78,4,44,3,5,90,7,5,12,10,46,79,50,24,72.55,3.11,Employed
S872,24,Female,AI&DS,3,8.35,74,91,50,89,69,74,81,66,79,76,2,75,6,2,61,9,4,2,10,93,62,52,2,81.6,7.14,Employed
S943,23,Male,EEE,4,8.9,60,72,96,55,72,94,55,85,55,89,1,40,1,3,86,8,3,1,2,93,90,69,29,77.55,7.26,Employed
S853,23,Female,EEE,3,9.41,79,86,74,98,86,59,97,36,48,49,4,60,5,5,84,0,6,4,4,88,48,35,30,65.7,3.09,Not Employed
S416,19,Female,AI&DS,5,9.88,78,84,100,51,62,65,79,42,63,85,1,92,2,6,79,7,5,10,10,65,92,83,7,80.2,5.49,Employed
S030,20,Male,CSE,5,8.64,53,100,95,97,48,95,40,71,95,96,3,61,3,1,66,7,1,1,6,71,44,41,43,77.55,5.46,Employed
S977,22,Female,AI&DS,4,9.52,69,99,77,54,66,53,60,96,86,100,3,85,8,4,89,2,5,12,6,40,59,50,31,74.55,3.49,Employed
S082,23,Female,IT,8,7.07,95,77,58,50,83,97,65,79,53,72,0,58,2,3,78,10,4,11,7,53,52,69,23,74.05,4.87,Employed
S268,22,Male,Mechanical,8,8.82,93,97,95,61,63,60,62,69,99,89,2,43,2,3,72,7,7,8,8,93,47,95,4,89.6,15.1,Employed
S447,21,Female,CSE,1,8.41,52,74,47,41,39,76,57,65,43,47,2,54,7,4,75,1,3,11,4,71,53,56,5,59.4,0.0,Not Employed
S934,21,Female,Mechanical,6,7.05,,87,94,44,38,55,93,68,53,58,3,53,7,6,58,7,3,2,0,85,51,57,3,71.35,4.89,Employed
S239,24,Female,CSE,8,6.9,86,89,70,64,63,49,95,68,81,85,1,84,6,,79,7,0,1,7,47,62,96,1,82.8,6.38,Employed
S962,18,Male,EEE,5,7.01,89,89,81,84,37,58,55,81,87,89,0,61,1,2,95,3,7,4,6,77,72,66,0,82.35,5.63,Employed
S652,24,Male,ECE,4,8.6,47,85,94,78,55,84,70,92,80,100,2,58,7,4,65,4,5,3,3,69,49,54,53,72.8,3.07,Employed
S639,24,Female,EEE,6,8.75,54,94,99,58,66,90,40,76,56,69,4,92,1,5,82,0,6,2,2,43,70,54,15,70.45,4.69,Employed
S531,24,Female,AI&DS,8,9.54,45,64,61,63,74,53,54,54,70,50,1,62,8,4,86,10,0,11,8,97,54,60,5,65.95,3.73,Not Employed
S317,24,Female,ECE,3,8.3,63,65,82,96,51,51,52,55,97,47,3,100,8,3,65,3,8,0,0,62,96,68,16,74.0,3.71,Employed
S656,18,Female,EEE,4,6.45,66,92,57,85,60,67,89,40,93,72,4,88,8,1,68,5,0,6,9,80,90,43,6,79.25,6.42,Employed
S568,19,Female,CSE,1,8.7,67,97,47,44,43,73,66,55,59,66,4,89,3,2,51,10,7,11,1,61,45,47,1,71.0,4.89,Employed
S738,19,Female,CSE,6,9.92,54,98,58,83,51,41,93,59,81,79,3,93,2,6,97,10,0,12,3,85,82,79,25,73.55,3.26,Employed
S342,22,Female,AI&DS,1,7.54,74,87,96,47,78,81,100,38,93,77,4,52,2,1,50,9,1,9,3,97,76,51,3,83.8,6.91,Employed
S583,21,Female,Mechanical,4,9.94,53,100,62,61,86,66,96,88,93,92,3,100,7,4,73,5,5,10,6,48,86,61,39,72.45,3.49,Employed
S341,22,Male,CSE,1,9.63,69,80,96,43,51,43,98,,42,73,4,80,7,1,56,10,0,8,0,58,94,83,4,82.85,6.21,Employed
S858,21,Female,AI&DS,4,6.3,80,73,96,99,84,83,90,61,62,96,3,97,2,5,71,10,1,10,8,98,91,86,16,94.5,9.77,Employed
S193,24,Female,AI&DS,2,6.04,50,91,79,35,40,94,70,82,75,98,4,95,5,4,61,8,4,6,3,88,76,51,48,74.45,3.11,Employed
S663,24,Male,EEE,2,8.17,75,91,75,78,50,79,91,39,75,66,2,74,7,3,52,1,0,4,10,48,84,68,9,75.7,7.45,Employed
S921,23,Male,CSE,4,9.81,66,74,61,56,50,41,70,56,91,35,3,48,8,5,98,0,3,7,1,100,66,48,31,58.75,0.0,Not Employed
S955,22,Female,AI&DS,8,6.28,62,87,45,91,89,82,49,63,49,61,1,90,7,1,50,10,4,4,1,67,59,52,1,73.3,4.88,Employed
S414,23,Male,ECE,1,8.63,72,83,43,48,44,70,93,55,38,53,2,49,2,2,54,0,,2,2,70,87,52,19,59.0,0.0,Not Employed
S351,20,Male,IT,4,5.94,49,83,42,60,77,52,83,77,67,73,2,52,3,6,97,8,4,0,4,58,92,79,24,66.1,4.57,Not Employed
S866,22,Male,IT,5,7.11,51,74,40,59,40,61,70,74,65,95,2,93,2,5,72,6,3,0,2,99,68,82,44,66.9,4.83,Not Employed
S255,24,Male,EEE,4,5.51,89,90,47,80,77,83,59,86,42,46,2,74,6,1,79,4,3,2,8,42,64,59,43,65.0,3.6,Not Employed
S119,23,Female,CSE,7,8.62,75,64,54,84,46,86,91,48,48,75,2,96,5,2,74,2,2,1,8,76,40,56,0,75.1,6.32,Employed
S022,19,Female,Mechanical,3,8.68,49,86,66,77,94,66,43,61,88,84,4,100,1,5,74,7,0,5,4,88,64,88,35,74.35,4.08,Employed
S533,19,Male,AI&DS,5,5.77,59,75,77,96,94,46,74,41,75,44,1,70,2,4,55,7,3,1,8,77,53,97,15,67.5,3.6,Not Employed
S644,23,Female,CSE,1,7.79,85,93,63,38,92,65,61,,79,76,2,63,1,5,87,1,7,12,7,67,88,100,9,77.35,5.11,Employed
S590,21,Female,CSE,5,8.87,93,89,82,45,77,75,42,51,36,37,2,64,,4,74,6,0,11,10,57,84,83,56,62.7,0.0,Not Employed
S810,22,Female,IT,3,5.96,77,92,80,40,98,100,78,47,87,53,1,86,5,6,55,10,6,4,3,52,75,78,24,73.05,4.61,Employed
S864,23,Female,ECE,5,5.84,77,72,91,99,73,47,66,94,66,71,3,73,6,2,75,9,8,12,8,46,64,72,6,84.8,7.33,Employed
S807,24,Male,IT,4,9.29,92,94,92,70,43,79,64,85,55,54,4,45,4,1,76,7,0,8,0,63,65,82,38,78.8,7.91,Employed
S678,23,Female,AI&DS,3,5.64,91,73,63,73,90,49,84,43,55,95,3,40,3,3,52,8,2,10,6,46,45,55,4,79.85,5.64,Employed
S482,21,Female,Mechanical,7,6.8,75,68,86,58,100,45,49,35,82,93,3,60,8,2,82,9,4,12,1,54,59,98,18,83.2,6.02,Employed
S404,19,Male,EEE,8,7.77,91,93,56,73,63,58,85,69,50,56,1,42,4,3,52,10,2,4,2,57,95,41,35,67.25,4.28,Not Employed
S731,18,Female,Mechanical,8,8.82,76,74,50,85,72,55,100,37,77,68,2,76,8,5,95,1,2,7,9,92,94,91,8,77.8,5.01,Employed
S680,22,Female,CSE,2,9.08,53,63,54,49,96,65,98,52,41,58,4,96,4,2,65,0,8,9,8,96,44,65,5,64.15,0.0,Not Employed
S298,21,Female,IT,2,9.71,93,75,59,61,55,98,68,75,87,39,2,95,2,4,80,6,5,11,6,96,98,47,54,66.9,4.65,Not Employed
S869,19,Male,ECE,8,6.73,66,87,75,86,82,50,59,39,83,53,1,47,6,3,89,9,6,7,2,60,99,89,13,74.25,4.54,Employed
S973,22,Female,CSE,2,6.3,92,78,91,53,73,50,82,82,62,87,4,41,2,2,64,7,5,3,0,51,75,69,5,85.1,13.7,Employed
S108,21,Female,Mechanical,3,7.05,46,90,46,72,88,98,45,49,53,79,2,61,8,2,83,7,5,7,1,68,,92,33,72.5,3.64,Employed
S372,20,Male,Mechanical,7,8.65,45,70,92,97,35,46,44,88,88,71,3,50,3,3,61,2,3,7,2,72,100,49,26,70.8,3.9,Employed
S831,20,Male,ECE,4,5.67,92,84,57,89,,69,68,45,49,80,1,76,7,2,70,3,0,11,5,77,69,36,12,75.6,5.54,Employed
S290,18,Female,AI&DS,1,7.92,47,89,82,89,100,97,66,69,37,95,4,41,6,4,86,6,5,9,1,91,71,47,48,75.7,7.07,Employed
S911,22,Male,EEE,3,7.56,46,65,86,57,60,97,48,89,43,79,0,48,1,6,66,8,5,0,7,87,67,90,33,70.2,4.5,Employed
S589,18,Male,Mechanical,6,6.82,95,65,62,98,37,79,97,88,56,81,2,52,5,5,51,7,5,2,0,81,55,74,14,86.7,10.63,Employed
S935,19,Female,CSE,2,8.93,98,89,93,82,97,67,78,50,97,48,3,50,1,3,60,9,8,5,1,58,57,86,50,74.6,4.15,Employed
S948,21,Female,EEE,8,8.37,61,89,78,51,82,84,87,67,51,54,0,72,4,6,66,10,5,11,8,90,47,58,7,68.45,4.47,Not Employed
S547,21,Female,AI&DS,2,8.43,96,84,96,95,37,100,57,76,40,53,1,51,1,2,83,2,2,11,7,88,42,42,43,69.8,4.19,Not Employed
S367,21,Female,IT,3,8.75,60,87,51,66,73,58,76,92,60,69,3,45,6,4,74,2,7,7,6,72,79,90,9,74.15,4.52,Employed
S370,20,Male,Mechanical,7,9.67,92,75,55,96,39,98,92,81,38,53,2,78,8,6,59,4,3,9,9,100,82,55,39,75.65,5.04,Employed
S102,22,Female,AI&DS,2,5.87,54,84,85,54,84,60,63,48,46,35,2,68,6,3,56,2,1,2,6,68,75,100,19,62.75,0.0,Not Employed
S147,19,Male,ECE,1,9.63,90,72,57,82,94,72,65,50,38,65,2,71,8,2,80,9,8,5,5,50,93,68,25,76.95,7.25,Employed
S260,19,Female,EEE,8,7.35,56,99,84,39,58,85,71,46,73,79,3,40,4,2,57,8,1,9,5,95,88,99,23,78.7,5.66,Employed
S508,23,Female,Mechanical,3,5.67,98,97,64,54,61,84,67,79,71,61,2,84,5,1,82,3,4,3,7,56,42,49,37,68.9,4.03,Not Employed
S732,22,Male,ECE,2,6.23,66,75,82,94,98,86,47,62,97,76,1,77,4,2,59,0,1,2,5,65,86,41,10,75.7,6.64,Employed
S137,23,Female,AI&DS,3,8.78,89,96,65,39,58,78,60,63,48,98,1,61,2,2,72,5,2,10,1,92,85,77,9,80.9,6.34,Employed
S127,20,Female,Mechanical,4,7.59,82,91,89,60,66,49,40,87,38,64,4,62,1,3,50,10,6,11,4,46,53,65,18,74.6,3.84,Employed
S968,20,Female,AI&DS,1,7.16,83,93,50,69,64,75,98,100,70,66,0,84,3,6,93,1,7,11,8,47,66,95,17,71.45,4.0,Employed
S847,23,Male,ECE,2,6.28,54,91,100,84,67,55,54,93,58,55,0,63,5,2,,1,6,2,6,83,60,68,1,70.0,4.18,Employed
S843,24,Male,CSE,8,8.73,55,68,58,41,82,43,68,87,68,94,0,93,8,6,90,7,5,4,6,46,79,58,39,63.5,0.0,Not Employed
S999,23,Female,Mechanical,8,8.13,65,89,47,45,85,67,87,73,86,62,3,61,7,1,85,3,3,5,9,71,56,93,3,73.8,3.79,Employed
S940,23,Female,AI&DS,8,9.38,80,79,62,61,97,56,79,82,37,92,0,72,7,3,50,6,7,5,6,94,95,37,12,75.5,5.51,Employed
S650,24,Male,CSE,2,5.87,92,60,49,89,98,97,45,54,41,35,3,51,1,2,68,5,5,10,9,45,42,56,57,59.7,0.0,Not Employed
S733,19,Male,CSE,5,8.92,76,98,91,94,99,72,95,91,79,61,2,82,6,2,65,10,8,6,0,91,93,40,15,82.8,5.61,Employed
S122,24,Female,IT,3,8.93,94,64,41,43,36,56,53,40,42,85,4,58,7,4,94,6,1,10,8,74,79,54,9,77.65,5.83,Employed
S188,22,Male,AI&DS,7,9.84,45,65,92,53,95,99,78,90,46,43,2,54,6,1,88,0,6,6,9,81,73,71,2,69.2,4.42,Not Employed
S993,21,Male,IT,1,6.08,78,65,81,89,69,93,40,50,36,62,4,42,2,2,53,3,0,2,5,48,41,68,16,75.15,6.02,Employed
S187,23,Female,AI&DS,7,7.98,80,90,51,82,96,56,59,79,85,52,0,87,4,4,100,2,1,3,8,65,90,78,28,66.45,4.6,Not Employed
S406,24,Male,Mechanical,7,9.76,61,100,80,61,91,54,60,69,61,85,1,68,4,6,96,6,5,2,7,45,71,58,24,68.5,3.92,Not Employed
S386,19,Male,AI&DS,3,5.52,73,80,47,40,51,76,53,55,46,67,0,45,2,5,69,5,8,2,6,100,82,35,6,64.25,0.0,Not Employed
S419,24,Male,CSE,7,7.65,100,62,58,55,54,83,69,45,46,64,1,91,3,6,60,8,8,11,9,81,73,78,36,72.25,3.89,Employed
S443,24,Female,Mechanical,8,8.51,78,93,55,96,97,57,60,96,63,46,2,89,5,6,55,5,8,3,10,81,87,61,32,69.65,4.39,Not Employed
S474,21,Male,EEE,5,7.13,87,76,90,36,50,59,76,76,68,57,3,69,1,4,50,7,0,5,7,80,94,62,30,71.9,3.82,Employed
S755,20,Female,ECE,4,8.74,84,87,41,69,92,72,59,54,43,91,0,49,6,1,74,2,2,5,9,88,55,87,7,76.5,5.83,Employed
S651,20,Female,CSE,1,9.98,50,62,79,35,59,90,50,85,97,48,2,77,5,5,83,1,4,2,1,69,78,68,2,68.85,3.31,Not Employed
S299,23,Female,EEE,2,7.08,83,95,87,76,93,84,41,41,58,91,1,40,7,2,90,4,5,9,1,47,50,66,8,81.3,6.55,Employed
S635,21,Female,EEE,6,6.95,76,92,79,84,91,78,53,82,53,44,4,93,7,2,100,6,3,3,5,62,65,70,32,74.3,3.5,Employed
S917,24,Female,AI&DS,5,6.51,88,97,90,71,99,95,95,99,57,43,4,73,5,5,76,8,0,6,6,56,95,37,45,74.35,3.69,Employed
S018,18,Female,EEE,6,8.49,52,79,72,74,87,60,65,72,51,59,3,82,7,6,97,2,4,6,8,93,40,73,7,70.5,3.57,Employed
S997,20,Female,Mechanical,3,8.91,70,61,48,60,80,91,44,81,99,81,0,44,6,2,93,0,1,7,3,83,86,46,11,72.95,3.85,Employed
S788,22,Female,AI&DS,3,5.81,63,73,96,81,91,56,73,65,78,54,3,73,1,4,67,8,6,0,6,68,52,63,9,73.35,4.98,Employed
S667,23,Male,ECE,4,8.78,53,70,87,100,65,66,40,69,59,98,4,55,1,4,63,9,6,3,8,58,62,52,45,75.1,6.21,Employed
S988,21,Male,AI&DS,4,7.04,71,68,52,42,59,78,69,73,68,37,4,98,1,4,81,0,8,11,9,75,70,40,34,56.8,0.0,Not Employed
S625,22,Male,CSE,5,8.14,45,79,96,52,75,98,55,96,62,59,3,70,8,2,56,2,6,8,10,80,74,44,14,72.1,3.29,Employed
S992,20,Male,CSE,3,8.87,49,94,59,37,51,63,71,92,35,62,3,,7,1,71,0,6,3,0,65,65,65,13,62.85,0.0,Not Employed
S218,23,Male,IT,8,7.62,66,73,87,62,61,74,73,68,96,53,0,64,1,3,60,0,4,3,9,57,43,94,13,66.6,4.31,Not Employed
S263,21,Male,AI&DS,8,6.3,68,68,69,59,80,57,52,77,51,39,4,43,5,2,57,7,7,6,2,88,61,63,29,66.25,4.77,Not Employed
S706,21,Male,Mechanical,7,8.93,71,68,78,52,79,41,75,46,97,95,3,99,1,2,86,9,1,12,4,41,65,68,24,74.25,3.13,Employed
S067,18,Female,CSE,5,6.41,95,72,96,40,75,99,59,100,85,95,2,42,4,3,72,0,5,4,1,91,63,90,0,92.45,16.89,Employed
S686,22,Female,EEE,6,9.04,46,99,89,58,51,44,43,69,41,50,3,56,2,5,83,0,4,10,4,94,81,57,4,62.95,0.0,Not Employed
S578,20,Female,EEE,5,5.99,52,85,92,60,46,75,94,98,60,51,4,42,8,4,56,1,3,0,6,51,45,43,1,70.6,3.48,Employed
S302,20,Female,ECE,3,7.44,58,98,53,71,59,66,51,87,53,38,2,56,4,5,78,3,5,9,10,81,69,45,20,59.7,0.0,Not Employed
S865,22,Male,IT,5,6.92,95,98,50,100,85,96,40,76,56,50,0,50,7,2,79,0,6,6,4,75,78,42,45,66.55,3.04,Not Employed
S597,21,Female,AI&DS,3,8.82,69,86,100,38,52,90,60,83,54,86,2,40,7,6,61,2,2,3,1,41,65,95,17,79.55,5.45,Employed
S012,22,Male,EEE,2,7.39,82,96,73,75,68,53,82,75,65,68,3,48,5,4,70,1,0,7,9,76,46,44,14,72.3,4.08,Employed
S1000,18,Female,Mechanical,8,5.72,56,75,87,96,95,91,86,46,68,66,0,91,2,5,61,2,0,9,5,67,71,65,10,70.9,3.43,Employed
S104,18,Male,ECE,5,7.39,75,64,63,67,66,86,80,98,60,93,0,48,5,1,75,5,6,12,5,68,61,90,18,79.95,7.45,Employed
S862,24,Male,EEE,6,8.09,51,68,60,92,61,59,79,99,55,78,2,54,5,6,77,10,0,12,7,87,59,52,27,72.2,4.16,Employed
S025,23,Male,EEE,4,7.59,61,83,50,49,55,59,46,38,74,83,3,100,4,1,87,10,3,1,4,94,83,50,22,71.15,4.59,Employed
S753,22,Female,CSE,2,9.7,77,91,83,69,56,78,82,89,99,54,3,86,7,5,92,7,0,4,0,77,62,64,23,78.85,7.14,Employed
S836,23,Male,EEE,1,9.2,54,82,46,52,49,53,86,94,77,85,2,73,7,2,71,9,5,10,10,93,70,35,31,67.9,4.11,Not Employed
S480,19,Female,Mechanical,3,8.22,95,78,61,75,50,45,66,88,99,53,4,71,4,2,79,0,2,1,6,56,88,95,42,73.35,4.49,Employed
S663,24,Male,EEE,2,8.17,75,91,75,78,50,79,91,39,75,66,2,74,7,3,52,1,0,4,10,48,84,68,9,75.7,7.45,Employed
S196,23,Male,ECE,1,6.29,76,68,97,75,97,59,56,,85,47,1,43,4,3,80,10,1,7,5,56,63,81,29,70.75,4.12,Employed
S570,24,Male,EEE,5,5.59,83,63,75,42,82,46,50,35,36,35,2,64,5,1,86,9,5,1,2,52,80,98,48,60.25,0.0,Not Employed
S207,19,Female,EEE,6,9.12,73,72,41,83,80,86,48,67,40,97,3,75,5,5,94,7,3,9,2,74,62,76,24,80.45,7.2,Employed
S846,23,Female,Mechanical,7,9.13,92,99,43,44,93,94,43,97,72,39,1,78,3,3,56,9,4,11,5,51,78,75,53,63.6,0.0,Not Employed
S243,21,Female,CSE,1,8.25,77,85,94,51,72,43,63,41,35,80,0,95,5,1,65,6,6,10,5,85,64,86,3,74.95,3.76,Employed
S190,19,Male,Mechanical,2,9.64,80,78,86,79,79,92,57,63,59,93,3,76,1,3,61,6,8,1,8,44,72,72,13,84.8,6.02,Employed
S096,22,Female,IT,3,6.38,59,84,76,66,98,75,81,78,67,97,3,69,3,6,100,5,2,2,8,71,51,42,38,71.35,4.05,Employed
S658,18,Female,EEE,7,5.57,100,100,90,74,41,71,77,62,71,49,1,99,7,5,96,5,2,8,10,52,40,89,51,70.75,3.16,Employed
S289,18,Male,AI&DS,6,7.07,92,97,41,78,83,46,67,79,80,87,2,43,4,2,65,10,4,9,1,98,84,43,5,82.65,7.61,Employed
S042,21,Female,ECE,5,6.4,69,90,46,65,83,76,62,72,72,37,3,57,1,5,93,0,7,4,3,78,91,80,32,62.15,0.0,Not Employed
S230,23,Female,CSE,2,8.96,65,83,97,83,43,88,67,43,72,95,1,47,5,3,83,6,8,3,3,79,43,48,30,76.45,6.71,Employed
S855,19,Female,AI&DS,3,5.84,56,61,59,43,40,58,50,67,62,49,2,86,8,5,86,1,1,7,9,68,49,87,7,64.1,0.0,Not Employed
S987,23,Male,EEE,7,7.27,55,62,55,100,82,98,92,86,70,37,3,74,1,2,75,5,2,9,5,45,97,83,18,70.8,3.56,Employed
S933,20,Male,Mechanical,3,7.63,81,86,87,45,76,78,94,92,89,67,0,60,4,6,91,5,6,7,0,87,70,99,14,79.1,6.79,Employed
S282,19,Female,EEE,6,7.08,99,92,89,65,99,76,44,47,36,62,1,58,3,5,50,1,3,8,7,63,84,58,37,68.6,3.88,Not Employed
S890,21,Male,CSE,7,9.28,97,77,89,39,60,59,100,61,99,43,4,71,4,5,80,7,5,8,3,86,54,62,54,68.6,3.81,Not Employed
S335,20,Female,Mechanical,8,6.73,87,80,61,61,93,,61,37,52,35,4,70,1,1,93,2,6,8,7,88,65,45,52,58.1,0.0,Not Employed
S333,22,Male,AI&DS,3,6.87,71,88,45,99,61,90,49,82,56,66,4,100,7,5,78,0,0,7,9,58,81,56,5,78.75,5.0,Employed
S328,24,Male,ECE,8,8.08,81,88,97,78,83,70,93,51,52,99,3,88,8,6,78,2,5,1,9,82,79,87,18,88.3,11.87,Employed
S085,20,Female,ECE,8,9.5,53,92,69,69,59,91,47,77,55,93,2,85,3,1,97,5,4,9,10,88,52,57,40,70.4,4.22,Employed
S142,22,Male,AI&DS,2,5.89,67,94,66,64,42,93,64,88,95,65,3,59,2,4,95,0,8,9,8,91,76,53,2,76.6,5.36,Employed
S293,19,Female,IT,7,9.71,91,100,43,60,81,69,49,65,54,73,3,66,6,1,90,3,6,4,4,81,50,67,18,74.6,4.37,Employed
S994,23,Male,ECE,6,8.06,89,98,63,64,49,76,81,58,85,40,0,79,7,1,58,7,5,7,4,82,60,67,49,64.25,0.0,Not Employed
S352,21,Female,EEE,1,7.62,77,69,95,85,64,54,86,61,95,64,4,77,8,6,79,5,1,5,3,67,89,88,13,85.9,10.1,Employed
S952,19,Female,CSE,5,8.06,56,98,40,36,88,65,50,91,40,52,3,65,1,3,71,0,5,6,3,51,44,96,4,60.8,0.0,Not Employed
S456,22,Female,AI&DS,6,6.07,79,96,96,72,41,88,94,85,51,86,0,69,8,1,55,0,4,10,1,61,78,47,7,79.65,7.47,Employed
S637,20,Female,AI&DS,3,6.49,82,93,78,60,39,64,63,41,64,46,1,45,1,3,55,8,4,7,2,58,49,90,36,64.2,0.0,Not Employed
S627,22,Male,Mechanical,3,7.66,95,92,96,87,55,55,78,71,98,44,3,78,1,4,54,8,1,11,2,89,81,40,51,71.35,3.74,Employed
S673,18,Male,IT,5,9.14,93,95,94,58,98,73,40,54,37,76,4,66,6,1,80,3,2,1,4,86,88,89,17,85.55,10.51,Employed
S332,24,Male,CSE,4,6.58,83,97,55,98,100,,72,84,49,69,0,60,8,5,76,1,7,0,6,80,54,37,14,73.25,3.54,Employed
S617,23,Female,Mechanical,2,6.52,86,89,49,59,35,97,90,99,48,98,1,98,2,6,69,3,6,4,3,74,80,47,12,78.65,7.85,Employed
S088,23,Male,EEE,8,7.88,68,64,98,49,42,93,75,99,60,54,1,60,8,1,93,3,7,1,8,68,91,42,14,72.7,3.91,Employed
S358,24,Male,IT,5,8.5,49,73,98,98,87,88,75,50,82,44,0,72,6,4,78,2,4,3,8,42,69,38,5,65.95,3.15,Not Employed
S668,22,Female,EEE,5,6.71,84,67,85,88,67,81,78,98,35,49,3,77,4,6,66,2,2,10,9,47,82,66,35,72.2,3.26,Employed
S331,22,Male,IT,3,6.32,94,65,49,74,87,83,50,42,76,58,0,85,1,3,74,1,5,2,6,97,60,68,36,65.35,3.75,Not Employed
S614,21,Female,EEE,3,7.18,68,95,74,53,76,87,80,79,87,57,4,65,6,4,72,4,2,10,7,83,74,87,11,80.05,6.08,Employed
S274,22,Male,EEE,4,9.02,94,77,52,37,45,74,94,92,46,100,3,52,8,3,88,9,8,0,10,63,65,53,6,85.5,15.16,Employed
S931,21,Male,EEE,5,9.99,73,86,67,67,52,40,68,83,61,53,3,100,2,6,63,5,3,11,8,98,65,95,20,71.45,3.84,Employed
S392,,Male,IT,7,8.97,99,65,80,45,44,86,55,46,56,42,0,87,5,5,81,0,6,10,8,99,86,52,57,59.95,0.0,Not Employed
